codigo,descricao,id_grupo,id_classe,id_pdm,status,sustentavel
46744,"PERNAS AMORTECEDORAS DE TREM DE POUSO DE AERONAVES, PERNAS AMORTECEDORAS DE TREM DE POUSO DE NOME",16,1620,10677,True,False
46779,"MONTANTES DE TREM DE POUSO DE AERONAVES, MONTANTES DE TREM DE POUSO DE AERONAVES NOME",16,1620,09902,True,False
46809,"TIRANTES DE TREM DE POUSO DE AERONAVES, TIRANTES DE TREM DE POUSO DE AERONAVES NOME",16,1620,12785,True,False
46817,"ESQUIS DE FREIO DE AERONAVES, ESQUIS DE FREIO DE AERONAVES NOME",16,1630,07062,True,False
46825,"FLUTUADORES DE SISTEMA DE RODAS E FREIO DE AERONAVES, FLUTUADORES DE SISTEMA DE RODAS E FREIO NOME",16,1630,07674,True,False
46833,"ESTEIRAS DO SISTEMA DE RODAS E FREIO DE AERONAVES, ESTEIRAS DO SISTEMA DE RODAS E FREIO DE NOME",16,1630,07119,True,False
46841,"VALVULAS ESPECIFICAS DO SISTEMA DE FREIO DE AERONAVES, VALVULAS ESPECIFICAS DO SISTEMA DE FREIO NOME",16,1630,13295,True,False
46884,"MOTORES DO SISTEMA HIDRAULICO, DE VACUO E DEGELO DE AERONAVES, MOTORES DO SISTEMA HIDRAULICO, DE VACUO NOME",16,1650,09998,True,False
46922,"MASCARAS DE OXIGENIO DE AERONAVES, MASCARAS DE OXIGENIO DE AERONAVES NOME",16,1660,09415,True,False
46930,"TUBOS DE RESPIRACAO DE OXIGENIO DE AERONAVES, TUBOS DE RESPIRACAO DE OXIGENIO DE AERON NOME",16,1660,13121,True,False
46949,"REGULADORES DE PRESSAO DA CABINA DE AERONAVES, REGULADORES DE PRESSAO DA CABINA DE AERO NOME",16,1660,11603,True,False
46957,"TROCADORES DE CALOR DE AERONAVES, TROCADORES DE CALOR DE AERONAVES NOME",16,1660,13013,True,False
46973,"SELETORES DE PRESSAO DA CABINA DE AERONAVES, SELETORES DE PRESSAO DA CABINA DE AERONA NOME",16,1660,11985,True,False
46990,"QUADRANTES DE CONTROLE DA CARLINGA DE AERONAVES, QUADRANTES DE CONTROLE DA CARLINGA DE AE NOME",16,1680,11357,True,False
47023,"VENTILADORES DE AERONAVES, VENTILADORES DE AERONAVES 1 NOME",16,1680,13378,False,False
613035,"GUINCHOS DE AERONAVES, TIPO SIMPLES  FUNCIONAMENTO ELÉTRICO  CAPACIDADE DE CARGA 600 KG",16,1680,08143,True,False
613035,"GUINCHOS DE AERONAVES, TIPO SIMPLES  FUNCIONAMENTO ELÉTRICO  CAPACIDADE DE CARGA 600 KG",16,1680,08143,True,False
