codigo,descricao,codigo_classe
00961,TACÓGRAFO                                                                                           ,5210
00962,VÁLVULA RETENÇÃO                                                                                    ,4820
00962,VÁLVULA RETENÇÃO                                                                                    ,4820
00962,VÁLVULA RETENÇÃO                                                                                    ,4820
00962,VÁLVULA RETENÇÃO                                                                                    ,4820
00962,VÁLVULA RETENÇÃO                                                                                    ,4820
00962,VÁLVULA RETENÇÃO                                                                                    ,4820
00962,VÁLVULA RETENÇÃO                                                                                    ,4820
00962,VÁLVULA RETENÇÃO                                                                                    ,4820
00962,VÁLVULA RETENÇÃO                                                                                    ,4820
00963,TORQUÍMETRO ESTALO ESCALA (LB.POL)                                                                  ,5210
00963,TORQUÍMETRO ESTALO ESCALA (LB.POL)                                                                  ,5210
00964,VÁLVULA AGULHA                                                                                      ,4820
00964,VÁLVULA AGULHA                                                                                      ,4820
00964,VÁLVULA AGULHA                                                                                      ,4820
00965,TORQUÍMETRO ESTALO ESCALA (KG.M).                                                                   ,5210
00966,TORQUÍMETRO ESTALO ESCALA (LB.PÉ)                                                                   ,5210
00966,TORQUÍMETRO ESTALO ESCALA (LB.PÉ)                                                                   ,5210
00967,TORQUÍMETRO RELÓGIO ESCALA DUPLA (NM) E (LB.POL)                                                    ,5210
00968,TRENA                                                                                               ,5210
00968,TRENA                                                                                               ,5210
00968,TRENA                                                                                               ,5210
00969,VÁLVULA GAVETA                                                                                      ,4820
00969,VÁLVULA GAVETA                                                                                      ,4820
00969,VÁLVULA GAVETA                                                                                      ,4820
00969,VÁLVULA GAVETA                                                                                      ,4820
00970,TORRE AUTOPORTANTE                                                                                  ,5445
00970,TORRE AUTOPORTANTE                                                                                  ,5445
00971,TORRE LINHA TRANSMISSÃO                                                                             ,5445
00972,CUMEEIRA                                                                                            ,5650
00973,ARQUIBANCADA                                                                                        ,5450
00974,LAJE ALVEOLAR                                                                                       ,5450
00975,BANDEJA REVELAÇÃO                                                                                   ,6740
00976,FILME REVELAÇÃO INSTANTÂNEA                                                                         ,6750
00977,MOLDURA SLIDE                                                                                       ,6750
00978,FILME SLIDE                                                                                         ,6750
00979,TRIPÉ                                                                                               ,6760
00979,TRIPÉ                                                                                               ,6760
00979,TRIPÉ                                                                                               ,6760
00979,TRIPÉ                                                                                               ,6760
00979,TRIPÉ                                                                                               ,6760
00979,TRIPÉ                                                                                               ,6760
00980,TRIPÉ PARA FLASH                                                                                    ,6760
00981,VÁLVULA MACHO                                                                                       ,4820
00982,PORCA PLANA                                                                                         ,5310
00983,RESERVATÓRIO RESFRIADO                                                                              ,5430
00984,TANQUE COMBUSTÍVEL ARMAZENAGEM                                                                      ,5430
00984,TANQUE COMBUSTÍVEL ARMAZENAGEM                                                                      ,5430
00984,TANQUE COMBUSTÍVEL ARMAZENAGEM                                                                      ,5430
00985,TANQUE EXPANSÃO RESFRIAMENTO LEITE                                                                  ,5430
00986,TANQUE REFRIGERADO                                                                                  ,5430
00987,TANQUE                                                                                              ,5430
00987,TANQUE                                                                                              ,5430
00988,VASO PRESSÃO - TANQUE AQUECIDO                                                                      ,5430
00989,VASO PROCESSO                                                                                       ,5430
00990,TORRE LINHA TRANSMISSÃO ATÉ 500 KV                                                                  ,5445
00991,VASO PULMÃO                                                                                         ,5430
00992,ESTACA CERCA                                                                                        ,5660
00993,MÁQUINA FOTOGRÁFICA                                                                                 ,6720
00993,MÁQUINA FOTOGRÁFICA                                                                                 ,6720
00994,ADUBO ANIMAL                                                                                        ,8720
00995,FERTILIZANTE NATURAL                                                                                ,8720
00996,VERMICULITA                                                                                         ,8720
00997,CANHÃO HIDRÁULICO                                                                                   ,3710
00998,VÁLVULA BORBOLETA                                                                                   ,4820
00998,VÁLVULA BORBOLETA                                                                                   ,4820
00998,VÁLVULA BORBOLETA                                                                                   ,4820
00998,VÁLVULA BORBOLETA                                                                                   ,4820
00999,VÁLVULA DIAFRAGMA                                                                                   ,4820
01000,ANDAIME                                                                                             ,5440
01000,ANDAIME                                                                                             ,5440
01001,ESTACA FUNDAÇÃO                                                                                     ,5450
01002,VÁLVULA SOLENÓIDE                                                                                   ,4810
01002,VÁLVULA SOLENÓIDE                                                                                   ,4810
01003,ANDAIME ISOLANTE                                                                                    ,5440
01004,SAPATA ANDAIME                                                                                      ,5440
01005,CORRIMÃO                                                                                            ,5445
01006,ESTICADOR                                                                                           ,5445
01006,ESTICADOR                                                                                           ,5445
01007,FERRAGEM REDE ELÉTRICA                                                                              ,5975
01008,"VIGA ""V""                                                                                            ",5450
01009,ALFAFA                                                                                              ,8710
01010,FARELO TRIGO                                                                                        ,8710
01011,GRAMA                                                                                               ,8710
01011,GRAMA                                                                                               ,8710
01011,GRAMA                                                                                               ,8710
01012,RAÇÃO ANIMAL                                                                                        ,8710
01013,RAÇÃO BALANCEADA BOVINA                                                                             ,8710
01014,RAÇÃO BALANCEADA FRANGO                                                                             ,8710
01015,TERRA VEGETAL                                                                                       ,8730
01016,CALIBRADOR ÂNGULO SAÍDA                                                                             ,5210
01017,TORRE CONTROLE                                                                                      ,5445
01018,TORRE PROJETOR                                                                                      ,5445
01019,RAÇÃO BALANCEADA GALINHA                                                                            ,8710
01020,RAÇÃO BALANCEADA PINTO                                                                              ,8710
01021,RAÇÃO BALANCEADA SUÍNA                                                                              ,8710
01022,MAÇARICO SOLDA                                                                                      ,3433
01023,TORRE ANTENA                                                                                        ,5445
01024,FILMADORA/MONITOR PORTÁTIL                                                                          ,6710
01024,FILMADORA/MONITOR PORTÁTIL                                                                          ,6710
01024,FILMADORA PORTÁTIL                                                                                  ,6710
01025,PORTA-RETRATOS                                                                                      ,6750
01025,PORTA-RETRATOS                                                                                      ,6750
01026,FORNO ELÉTRICO                                                                                      ,7310
01026,FORNO ELÉTRICO                                                                                      ,7310
01026,FORNO ELÉTRICO                                                                                      ,7310
01027,MAÇARICO CORTE                                                                                      ,3433
01028,FORNO MUFLA                                                                                         ,3424
01028,FORNO MUFLA                                                                                         ,3424
01029,GABINETE JATEAMENTO AREIA                                                                           ,3426
01030,EQUIPAMENTO SOLDAGEM ARCO                                                                           ,3431
01031,DESPOLPADEIRA FRUTAS                                                                                ,7320
01032,COLHER PAU                                                                                          ,7340
01033,FURADEIRA COLUNA                                                                                    ,3413
01034,TRANSFORMADOR SOLDAGEM                                                                              ,3431
01035,RETIFICADOR SOLDAGEM                                                                                ,3431
01036,MÁQUINA SOLDA PORTÁTIL                                                                              ,3432
01036,MÁQUINA SOLDA PORTÁTIL                                                                              ,3432
01036,MÁQUINA SOLDA PORTÁTIL                                                                              ,3432
01036,MÁQUINA SOLDA PORTÁTIL                                                                              ,3432
01036,MÁQUINA SOLDA PORTÁTIL                                                                              ,3432
01036,MÁQUINA SOLDA PORTÁTIL                                                                              ,3432
01037,FURADEIRA ELÉTRICA EMPUNHÁVEL                                                                       ,5130
01038,MICRÔMETRO DIGITAL                                                                                  ,5220
01039,PAQUÍMETRO DIGITAL                                                                                  ,5220
01039,PAQUÍMETRO DIGITAL                                                                                  ,5220
01039,PAQUÍMETRO DIGITAL                                                                                  ,5220
01040,SOLDAGEM SEMI-AUTOMÁTICA                                                                            ,3431
01041,FOGÃO GÁS                                                                                           ,7310
01041,FOGÃO GÁS                                                                                           ,7310
01042,FOGÃO LENHA                                                                                         ,7310
01043,FORNO LENHA                                                                                         ,7310
01043,FORNO LENHA                                                                                         ,7310
01044,FORNO ELÉTRICO PORTÁTIL                                                                             ,7310
01045,FORNO MICROONDAS                                                                                    ,7310
01046,CAÇAROLA                                                                                            ,7330
01047,REBARBADORA ANGULAR                                                                                 ,3405
01047,REBARBADORA ANGULAR                                                                                 ,3405
01048,FORNO CÂMARA                                                                                        ,3424
01049,EMPILHADEIRA ELÉTRICA                                                                               ,3930
01049,EMPILHADEIRA ELÉTRICA                                                                               ,3930
01049,EMPILHADEIRA ELÉTRICA                                                                               ,3930
01050,MACACO HIDRÁULICO                                                                                   ,5120
01050,MACACO HIDRÁULICO                                                                                   ,5120
01050,MACACO HIDRÁULICO                                                                                   ,5120
01050,MACACO HIDRÁULICO                                                                                   ,5120
01050,MACACO HIDRÁULICO                                                                                   ,5120
01051,MACACO HIDRO-PNEUMÁTICO                                                                             ,5120
01052,MARTELO BORRACHA                                                                                    ,5120
01053,TORNO BANCADA                                                                                       ,5120
01053,TORNO BANCADA                                                                                       ,5120
01053,TORNO BANCADA                                                                                       ,5120
01053,TORNO BANCADA                                                                                       ,5120
01053,TORNO BANCADA                                                                                       ,5120
01053,TORNO BANCADA                                                                                       ,5120
01054,LIXADEIRA                                                                                           ,5130
01054,LIXADEIRA                                                                                           ,5130
01054,LIXADEIRA                                                                                           ,5130
01054,LIXADEIRA                                                                                           ,5130
01054,LIXADEIRA                                                                                           ,5130
01054,LIXADEIRA                                                                                           ,5130
01055,ASSADEIRA                                                                                           ,7310
01056,CHAPA ASSADEIRA/FRITADEIRA                                                                          ,7310
01056,CHAPA ASSADEIRA/FRITADEIRA                                                                          ,7310
01057,ASSADEIRA COZINHA COMERCIAL                                                                         ,7330
01058,CALDEIRÃO                                                                                           ,7330
01059,ESCORREDOR MACARRÃO                                                                                 ,7330
01060,FORMA                                                                                               ,7330
01060,FORMA                                                                                               ,7330
01061,CALANDRA ROTATIVA                                                                                   ,3441
01061,CALANDRA ROTATIVA                                                                                   ,3441
01062,MÁQUINA TREFILAR                                                                                    ,3422
01063,TUBO NÁILON FLEXÍVEL                                                                                ,4720
01064,TUBO NÁILON SEMI-RÍGIDO                                                                             ,4710
01065,GUILHOTINA INDUSTRIAL                                                                               ,3405
01065,GUILHOTINA INDUSTRIAL                                                                               ,3405
01066,CHAMFRADEIRA                                                                                        ,3411
01067,EQUIPAMENTO PARA ESTERILIZAÇÃO                                                                      ,6530
01067,EQUIPAMENTO PARA ESTERILIZAÇÃO                                                                      ,6530
01067,ESTERILIZADOR                                                                                       ,6530
01068,FOGAREIRO                                                                                           ,7310
01069,CAFETEIRA ELÉTRICA                                                                                  ,7310
01069,CAFETEIRA ELÉTRICA                                                                                  ,7310
01069,CAFETEIRA ELÉTRICA                                                                                  ,7310
01070,FOGÃO INDUSTRIAL                                                                                    ,7310
01070,FOGÃO INDUSTRIAL                                                                                    ,7310
01071,ESPREMEDOR FRUTA                                                                                    ,7320
01072,JARRA TÉRMICA                                                                                       ,7330
01073,COADOR DESCARTÁVEL CAFÉ                                                                             ,7330
01074,FITA ENXERTIA                                                                                       ,3710
01075,PANELA PRESSÃO                                                                                      ,7330
01076,ESPETO CHURRASCO                                                                                    ,7340
01077,AÇUCAREIRO                                                                                          ,7350
01078,PRENSA PNEUMÁTICA CADERNO DOBRADO/LIVRO COSTURADO                                                   ,3442
01079,BALDE GELO                                                                                          ,7330
01080,COPO                                                                                                ,7350
01080,COPO                                                                                                ,7350
01080,COPO                                                                                                ,7350
01081,MANDRIL COM PINÇA                                                                                   ,3460
01081,MANDRIL COM PINÇA                                                                                   ,3460
01081,MANDRIL COM PINÇA                                                                                   ,3460
01082,ASSADEIRA DOMÉSTICA                                                                                 ,7330
01083,MANTEIGUEIRA                                                                                        ,7350
01084,TORNO VERTICAL                                                                                      ,3416
01085,FRESADORA COMANDO NUMÉRICO                                                                          ,3417
01086,FRESADORA UNIVERSAL                                                                                 ,3417
01086,FRESADORA UNIVERSAL                                                                                 ,3417
01087,PINÇA                                                                                               ,3460
01087,PINÇA                                                                                               ,3460
01088,PORTA-MACHO                                                                                         ,3460
01089,AFIADORA BURIL FRESA                                                                                ,3415
01090,AFIADORA FERRAMENTAS                                                                                ,3415
01090,AFIADORA FERRAMENTA GRAVAÇÃO                                                                        ,3415
01091,PRENSA HIDRÁULICA REPUXE                                                                            ,3442
01092,PRENSA MANUAL                                                                                       ,3444
01092,PRENSA MANUAL                                                                                       ,3444
01092,PRENSA MANUAL                                                                                       ,3444
01092,PRENSA MANUAL                                                                                       ,3444
01092,PRENSA MANUAL                                                                                       ,3444
01092,PRENSA MANUAL                                                                                       ,3444
01093,LIQUIDIFICADOR INDUSTRIAL                                                                           ,7320
01094,BOMBONEIRA                                                                                          ,7350
01095,CANECA CERÂMICA                                                                                     ,7350
01096,TESOURA MECÂNICA                                                                                    ,3445
