codigo,descricao,codigo_classe
03223,BALANÇA DOMÉSTICA                                                                                   ,6670
03224,BALANÇA ELETRONICA                                                                                  ,6670
03225,BALANÇA GRANATARIA                                                                                  ,6670
03226,BALANCA INDUSTRIAL                                                                                  ,6670
03227,BALANCA PARA TUBOS - USO LABORATORIO                                                                ,6640
03228,BALANCA POSTAL                                                                                      ,6670
03229,BALANCA RODOVIARIA                                                                                  ,6670
03230,BALANCA TIPO DOMESTICA                                                                              ,6670
03231,BALANCEADORA DE RODAS                                                                               ,4910
03232,BALANCIM INDIVIDUAL / CADEIRA SUSPENSA ( EPI )                                                      ,3990
03233,BALANÇO INFANTIL                                                                                    ,7830
03234,BALAO DE BARRAGEM ( MARINHA )                                                                       ,1935
03235,BALÃO DESTACÁVEL                                                                                    ,6515
03236,BALAO DE USO OFTALMOLOGICO                                                                          ,6540
03237,BALÃO DILATAÇÃO                                                                                     ,6515
03238,BALÃO INFLÁVEL AR FRIO                                                                              ,9320
03238,BALÃO INFLÁVEL AR FRIO                                                                              ,9320
03239,BALAO INFLAVEL A AR QUENTE PARA PROPAGANDA AEREA                                                    ,9905
03240,BALÃO INFLÁVEL GÁS                                                                                  ,9320
03241,BALAO METEOROLOGICO                                                                                 ,6660
03242,MICROBALÃO*                                                                                         ,6515
03243,BALCÃO CASA COMÉRCIO                                                                                ,7195
03244,BALCÃO CONSERVAÇÃO ALIMENTO                                                                         ,7310
03245,BALCÃO DOMÉSTICO                                                                                    ,7105
03246,BALCÃO                                                                                              ,7110
03246,BALCÃO                                                                                              ,7110
03246,BALCÃO                                                                                              ,7110
03246,BALCÃO                                                                                              ,7110
03246,BALCÃO                                                                                              ,7110
03247,BALCÃO NÃO TÉRMICO                                                                                  ,7195
03248,BALCÃO TÉRMICO - PEÇAS/ACESSÓRIOS                                                                   ,7195
03249,BALCÃO TÉRMICO                                                                                      ,7195
03249,BALCÃO TÉRMICO                                                                                      ,7195
03249,BALCÃO TÉRMICO                                                                                      ,7195
03249,BALCÃO TÉRMICO                                                                                      ,7195
03249,BALCÃO TÉRMICO                                                                                      ,7195
03249,BALCÃO TÉRMICO                                                                                      ,7195
03249,BALCÃO TÉRMICO                                                                                      ,7195
03250,BALDE                                                                                               ,8110
03251,BALDE DE ARMAZENAMENTO DE MATERIAL                                                                  ,8110
03252,BALDE DE LONA PARA RACAO ANIMAL                                                                     ,3770
03253,BALDE DE RESIDUO INFLAMAVEL                                                                         ,7240
03254,BALDE DE TRANSPORTE DE MATERIAL                                                                     ,8110
03255,DISPENSER HIGIENIZADOR                                                                              ,7240
03256,BALDE TRANSPORTE MATERIAL                                                                           ,3990
03257,BALDE ZINCADO                                                                                       ,7240
03258,BALIZA TOPOGRÁFICA                                                                                  ,6675
03259,BALSA PNEUMATICA                                                                                    ,4220
03259,BALSA PNEUMATICA                                                                                    ,4220
03260,ANIDRIDO TETRAFLUOROFTÁLICO                                                                         ,6810
03261,BÁLSAMO - DE - TOLÚ                                                                                 ,9410
03262,BÁLSAMO DO CANADÁ                                                                                   ,8040
03263,BÁLSAMO-DO-PERU                                                                                     ,9410
03264,BÁLSAMO - TRANQÜILO                                                                                 ,9410
03265,ANIDRIDO DIFTÁLICO                                                                                  ,6810
03266,DIANIDRIDO BIFENILTETRACARBOXÍLICO                                                                  ,6810
03267,CARNE SALGADA                                                                                       ,8905
03268,BANCAE ESTIRAMENTO ( DE FUSO ) FIO TEXTIL                                                           ,3625
03269,BANCADA                                                                                             ,5670
03269,BANCADA                                                                                             ,5670
03269,BANCADA                                                                                             ,5670
03269,BANCADA                                                                                             ,5670
03269,BANCADA                                                                                             ,5670
03269,BANCADA                                                                                             ,5670
03270,BANCADA CAIXA REGISTRADORA                                                                          ,7110
03271,BANCADA PROFISSIONAL                                                                                ,3230
03271,BANCADA PROFISSIONAL                                                                                ,3230
03271,BANCADA PROFISSIONAL                                                                                ,3230
03271,BANCADA PROFISSIONAL                                                                                ,3230
03271,BANCADA PROFISSIONAL                                                                                ,3230
03271,BANCADA PROFISSIONAL                                                                                ,3230
03271,BANCADA PROFISSIONAL                                                                                ,3230
03272,BANCADA DE REPARO EM CALCADO                                                                        ,8335
03273,BANCADA INDUSTRIAL DE ESTIRAR METAL                                                                 ,3422
03274,BANCADA MONTAGENS MANUAIS / TESTES                                                                  ,7195
03275,BANCO - VEICULO AUTOMOTIVO                                                                          ,2510
03275,BANCO - VEICULO AUTOMOTIVO                                                                          ,2510
03276,BANCO CAPACITOR DERIVAÇÃO                                                                           ,6110
03276,BANCO CAPACITOR DERIVAÇÃO                                                                           ,6110
03277,BANCO MANUTENÇÃO AERONAVE                                                                           ,4920
03278,BANCO DE PROVA DE MOTOR DE AERONAVE                                                                 ,4920
03279,BANCO DE RESISTORES                                                                                 ,5905
03280,BANCO ESTRUTURA FERRO - USO GERAL                                                                   ,7195
03281,BANCO                                                                                               ,6530
03282,BANCO GIRATÓRIO                                                                                     ,6530
03283,BANCO PARA CINZEIRO TIPO PEDESTAL                                                                   ,7110
03284,BANCO PLACAS ENSAIO VEÍCULO AUTOMOTIVO                                                              ,4910
03285,BANCO REGULÁVEL  ATIVIDADES EM PÉ                                                                   ,7195
03286,BANDA ABRASIVA - USO ODONTOLÓGICO                                                                   ,6520
03287,BANDA ORTODÔNTICA                                                                                   ,6520
03288,BANDAGEM 1                                                                                          ,6515
03289,BANDEIRA CÓDIGO INTERNACIONAL DE SINAIS                                                             ,8345
03290,BANDEIRA SINALIZAÇÃO                                                                                ,8345
03290,BANDEIRA SINALIZAÇÃO                                                                                ,8345
03291,BANDEIRA DE SINALIZACAO DE CODIGO INTERNACIONAL                                                     ,6350
03292,BANDEIRA SINALIZAÇÃO DE TRÁFEGO                                                                     ,8345
03293,BANDEIRA DE SINALIZACAO METEOROLOGICA                                                               ,6350
03294,BANDEIRA EM GERAL                                                                                   ,8345
03294,BANDEIRA EM GERAL                                                                                   ,8345
03294,BANDEIRA EM GERAL                                                                                   ,8345
03294,BANDEIRA EM GERAL                                                                                   ,8345
03294,BANDEIRA EM GERAL                                                                                   ,8345
03295,BANDEIRA SEMAFÓRICA                                                                                 ,8345
03296,BANDEIROLA                                                                                          ,8345
03297,BANDEIROLA DE USO CIVICO                                                                            ,8345
03298,BANDEIROLA DE USO ESPORTIVO                                                                         ,8345
03299,BANDEJA                                                                                             ,8135
03299,BANDEJA                                                                                             ,8135
03300,BANDEJA DE AÇO                                                                                      ,7360
03300,BANDEJA DE AÇO                                                                                      ,7360
03301,SUPORTE EMBALAGEM                                                                                   ,8145
03302,BANDEJA DE AGATA                                                                                    ,6545
03303,BANDEJA DE BATERIA                                                                                  ,6160
03304,BANDEJA DE CERAMICA DE REFEICAO                                                                     ,7360
03305,BANDEJA IMPRESSORA                                                                                  ,7070
03306,BANDEJA PINTURA                                                                                     ,8020
03307,BANDEJA DE PLASTICO DE REFEICAO                                                                     ,7350
03308,BANDEJA                                                                                             ,6640
03309,BANDEJA DE REFEIÇÃO                                                                                 ,7350
03310,BANDEJA DE SLIDE                                                                                    ,6730
03311,BANDEJA DESCARTÁVEL VAPORIZAÇÃO                                                                     ,6640
03312,BANDEJA METALICA PARA CABO ELETRICO                                                                 ,5975
03313,BANDEJA METALICA PARA DISSECACAO - USO LABORATORIO                                                  ,6640
03314,BANDEJA PLASTICA PARA CABO ELETRICO                                                                 ,5975
03315,BANHA DE ORIGEM ANIMAL                                                                              ,8945
03316,CESTA VÁLVULA ESCOAMENTO                                                                            ,4510
03317,BANHEIRA DE FIBRA DE VIDRO DE USO DOMESTICO                                                         ,4510
03318,BANHEIRA DE PVC DE USO DOMESTICO                                                                    ,4510
03319,BANHEIRA                                                                                            ,4510
03320,BANHEIRA USO INFANTIL                                                                               ,9330
03321,BANHO DE PARAFINA                                                                                   ,6545
03322,COLUNA PURIFICAÇÃO                                                                                  ,6640
03323,BARALHO                                                                                             ,7820
03324,BARBANTE                                                                                            ,4020
03325,BARBANTE DE SISAL                                                                                   ,4020
03326,BARBELA MONTARIA                                                                                    ,3770
03327,ANIDRIDO BUTILFTÁLICO                                                                               ,6810
03328,BARCA ALUMÍNIO                                                                                      ,1905
03329,BARCA FIBRA DE MADEIRA                                                                              ,1905
03330,BARCA FIBRA DE VIDRO                                                                                ,1905
03331,BARCA INFLAVEL                                                                                      ,4220
03332,BARCA MADEIRA GRANDE PORTE                                                                          ,1905
03333,BARCA MADEIRA MEDIO PORTE                                                                           ,1905
03334,BARCA MADEIRA PEQUENO PORTE                                                                         ,1940
03335,BARCA METALICA GRANDE PORTE                                                                         ,1905
03336,BARCA METALICA MEDIO PORTE                                                                          ,1905
03337,BARCA METÁLICA PEQUENO PORTE                                                                        ,1940
03338,BARCO REMO                                                                                          ,1990
03338,BARCO REMO                                                                                          ,1990
03339,BARCO A VELA DE COMPETICAO ESPORTIVA                                                                ,1990
03339,BARCO A VELA DE COMPETICAO ESPORTIVA                                                                ,1990
03340,BARCO ALUMÍNIO                                                                                      ,1940
03340,BARCO ALUMÍNIO                                                                                      ,1940
03341,BARCO DE PESCA COM CAMARA FRIGORIFICA                                                               ,1920
03342,BARCO FIBRA VIDRO                                                                                   ,1940
03343,BARCO MADEIRA                                                                                       ,1940
03344,PREDNISONA                                                                                          ,6810
03345,BÁRIO                                                                                               ,6810
03346,BAROGRAFO                                                                                           ,6660
03347,BARÔMETRO                                                                                           ,6660
03347,BARÔMETRO                                                                                           ,6660
03348,BARRA DE ACO CARBONO  PARA  CONSTRUCAO  MECANICA -ACIMA DE 50M                                      ,9510
03349,BARRA METAL FERROSO                                                                                 ,9510
03349,BARRA METAL FERROSO                                                                                 ,9510
03349,BARRA METAL FERROSO                                                                                 ,9510
03350,BARRA AÇO                                                                                           ,9510
03350,BARRA AÇO                                                                                           ,9510
03350,BARRA AÇO                                                                                           ,9510
03350,BARRA AÇO                                                                                           ,9510
03350,BARRA AÇO                                                                                           ,9510
03350,BARRA AÇO                                                                                           ,9510
03350,BARRA AÇO                                                                                           ,9510
03350,BARRA AÇO                                                                                           ,9510
03350,BARRA AÇO                                                                                           ,9510
03350,BARRA AÇO                                                                                           ,9510
03350,BARRA AÇO                                                                                           ,9510
03350,BARRA AÇO                                                                                           ,9510
03350,BARRA AÇO                                                                                           ,9510
03350,BARRA AÇO                                                                                           ,9510
03350,BARRA AÇO                                                                                           ,9510
03350,BARRA AÇO                                                                                           ,9510
03351,BARRA DE ACO COM SECAO OITAVADA                                                                     ,9510
03352,BARRA DE ACO COM SECAO QUADRADA                                                                     ,9510
03353,BARRA DE ACO COM SECAO REDONDA                                                                      ,9510
03354,BARRA DE ACO COM SECAO SEXTAVADA                                                                    ,9510
03355,BARRA DE ACO DE SECAO CRUZ                                                                          ,9510
03356,BARRA DE ACO DE SECAO MEIA - CANA                                                                   ,9510
03357,BARRA DE ACO DE SECAO RETANGULAR                                                                    ,9510
03358,BARRA DE ACO MENOR QUE 3 POLEGADAS DE ESPESSURA                                                     ,9520
03359,BARRA CHATA                                                                                         ,9535
03359,BARRA CHATA                                                                                         ,9535
03359,BARRA CHATA                                                                                         ,9535
03360,"""BARRA CEREAL""                                                                                      ",8920
03361,BARRA DE CONTROLE DE REATOR NUCLEAR                                                                 ,4470
03362,BARRA DE CURTO - CIRCUITO PARA BATERIA                                                              ,5999
03363,BARRA DIREÇÃO                                                                                       ,2530
03364,PROTETOR AUTO-ADESIVO                                                                               ,9999
03364,PROTETOR AUTO-ADESIVO                                                                               ,9999
03365,BARRA FERRO E ACO                                                                                   ,9640
03366,BARRA DE FERRO E ACO EM BRUTO                                                                       ,9640
03367,BARRA DE FERRO E ACO PARA LAMINA                                                                    ,9640
03368,BARRA DE FERRO E ACO REDONDA PARA TUBO SEM COSTURA                                                  ,9640
03369,BARRA DE FERRO MENOR QUE 3 POLEGADAS DE ESPESSURA                                                   ,9520
03370,BARRA DE GRAFITE PARA FIM ELETRODO                                                                  ,5977
03371,BARRA DE LATAO                                                                                      ,9530
03372,BARRA DE MATERIAL METALICO NAO FERROSO - SECAO SEXTAVADA                                            ,9530
03373,BARRA DE METAL FERROSO                                                                              ,9510
03374,BARRA METAL NÃO FERROSO                                                                             ,9530
03374,BARRA METAL NÃO FERROSO                                                                             ,9530
03374,BARRA METAL NÃO FERROSO                                                                             ,9530
03374,BARRA METAL NÃO FERROSO                                                                             ,9530
03374,BARRA METAL NÃO FERROSO                                                                             ,9530
03374,BARRA METAL NÃO FERROSO                                                                             ,9530
03374,BARRA METAL NÃO FERROSO                                                                             ,9530
03374,BARRA METAL NÃO FERROSO                                                                             ,9530
03374,BARRA METAL NÃO FERROSO                                                                             ,9530
03374,BARRA METAL NÃO FERROSO                                                                             ,9530
03374,BARRA METAL NÃO FERROSO                                                                             ,9530
03374,BARRA METAL NÃO FERROSO                                                                             ,9530
03374,BARRA METAL NÃO FERROSO                                                                             ,9530
03375,BARRA DE METAL NAO FERROSO COM SECAO OITAVADA                                                       ,9530
03376,BARRA METAL NAO FERROSO                                                                             ,9530
03377,BARRA DE METAL NAO FERROSO COM SECAO REDONDA                                                        ,9530
03378,BARRA DE METAL NAO FERROSO DE SECAO MEIA - CANA                                                     ,9530
03379,BARRA DE METAL NAO FERROSO DE SECAO RETANGULAR                                                      ,9530
03380,BARRA DE METAL NAO FERROSO SECAO SEMI - CIRCULAR                                                    ,9530
03381,BARRA METAL PRECIOSO                                                                                ,9545
03382,BARRA DE METAL PRECIOSO NA FORMA PRIMARIA                                                           ,9660
03383,BARRA PINO                                                                                          ,5999
03384,BARRA DE PLÁSTICO                                                                                   ,9330
03384,BARRA DE PLÁSTICO                                                                                   ,9330
03384,BARRA DE PLÁSTICO                                                                                   ,9330
03384,BARRA DE PLÁSTICO                                                                                   ,9330
03384,BARRA DE PLÁSTICO                                                                                   ,9330
03385,BARRA DE SUSPENSAO                                                                                  ,2530
03386,BARRA VIDRO                                                                                         ,9340
03387,PONTEIRA PÁRA-CHOQUE                                                                                ,2530
03388,BARRA                                                                                               ,4510
03388,BARRA DE APOIO E SEGURANÇA - PNE                                                                    ,4510
03388,BARRA DE APOIO E SEGURANÇA - PNE                                                                    ,4510
03389,BARRA PARALELA                                                                                      ,6545
03390,BARRACA COMPLETA                                                                                    ,8340
03391,BARRACA COMPLETA PARA 4 PESSOAS                                                                     ,8340
03392,BARRACA COMPLETA PARA 6 PESSOAS                                                                     ,8340
03393,BARRACA DE FEIRA                                                                                    ,8340
03394,BARRACA DE LONA                                                                                     ,8340
03395,BARRAMENTO COBRE                                                                                    ,6150
03395,BARRAMENTO COBRE                                                                                    ,6150
03395,BARRAMENTO COBRE                                                                                    ,6150
03395,BARRAMENTO COBRE                                                                                    ,6150
03396,BARRAMENTO DE PARA - RAIOS                                                                          ,5920
03397,BARRAS E PERFIS DE ACO INOXIDAVEL                                                                   ,9510
03398,BARRETA DE GRAFITE PARA FIM ELETRODO                                                                ,5977
03399,BARRETINA                                                                                           ,8345
03400,BARRICA                                                                                             ,8110
03401,BARRIL                                                                                              ,8110
03402,BARRIL VIDRO USO LABORATÓRIO                                                                        ,6640
03403,BARRILETE                                                                                           ,8110
03404,BROMEXINA                                                                                           ,6810
03405,BARRO                                                                                               ,5610
03406,BARRO VIDRADO                                                                                       ,5610
03407,BARROTE                                                                                             ,5510
03408,BASCULANTE                                                                                          ,5670
03408,BASCULANTE                                                                                          ,5670
03408,BASCULANTE                                                                                          ,5670
03409,BASE COM VALVULA BORBOLETA DE CARBURADOR DE CORPO DUPLO                                             ,2910
03410,BASE DE ANTENA                                                                                      ,5985
03411,BASE DE ANTENA DE USO EXTERNO                                                                       ,5445
03412,BASE DE ANTENA DE USO INTERNO                                                                       ,5985
03413,BASE PARA CARIMBO                                                                                   ,7520
03414,BASE DE CALENDÁRIO                                                                                  ,7510
03415,AGREGÔMETRO                                                                                         ,6640
03416,BASE DE DISJUNTOR                                                                                   ,5925
03417,BASE DE GLOBO ILUMINAÇÃO                                                                            ,6210
03418,BASE DE MALA                                                                                        ,8460
03419,BASE DE TEODOLITO                                                                                   ,6675
03420,BASE DE TOMADA DE PINO                                                                              ,5935
03421,BASE DE TORRE DE ANTENA                                                                             ,5445
03422,FLUMEQUINA                                                                                          ,6810
03423,BASE CENTRAGEM FORÇADA USO TOPOGRÁFICO                                                              ,6675
03424,BASE PARA FUSIVEL TIPO CARTUCHO - BAIXA TENSAO                                                      ,5920
03425,BASE FUSÍVEL NH                                                                                     ,5920
03425,BASE FUSÍVEL NH / HH                                                                                ,5920
03426,BASE PARA FUSIVEL TIPO ROLHA-BAIXA TENSAO                                                           ,5920
03427,BASE PARA LAMPADA                                                                                   ,6250
03428,BASILIXIMABE                                                                                        ,6505
03429,JOGO DE BASTÕES                                                                                     ,6515
03430,CADARÇO IDENTIFICAÇÃO VASOS SANGÜÍNEOS                                                              ,6515
03431,BASTÃO GINÁSTICA                                                                                    ,7830
03431,BASTÃO GINÁSTICA                                                                                    ,7830
03432,BASTÃO PLÁSTICO                                                                                     ,9330
03433,BASTÃO LABORATÓRIO                                                                                  ,6640
03434,BASTAO ISOLANTE                                                                                     ,6230
03435,BASTÃO MIRA TOPOGRAFIA                                                                              ,6675
03436,BASTIDOR EQUIPAMENTO PROCESSAMENTO DADOS                                                            ,7060
03437,LEGUME INDUSTRIALIZADO                                                                              ,8915
03438,"""BATATA FRITA EMBALADA""                                                                             ",8920
03439,BATATA IN - NATURA                                                                                  ,8915
03440,BATE - ESTACA                                                                                       ,3815
03441,BATE - ESTACA - UTILIZADO TANTO EM GUINDASTE QUAN-TO EM GUINDASTE - ESCAVADEIRA                     ,3810
03442,TESOURA                                                                                             ,3730
03443,BATEDEIRA ELETRICA DE BOLO                                                                          ,7320
03444,BATEDEIRA INDUSTRIAL DE POLPA E PAPEL                                                               ,3615
03445,BATEDEIRA DOMÉSTICA                                                                                 ,7330
03445,BATEDEIRA DOMÉSTICA                                                                                 ,7330
03446,BATEDEIRA MISTURADORA DE POMADA E PASTA                                                             ,6540
03447,BATEDOR / ABAFADOR FOGO - COMBATE INCÊNDIO                                                          ,4210
03448,BATEDOR MANUAL                                                                                      ,7330
03449,BATELAO BOMBEADOR                                                                                   ,1935
03450,BATELAO DE CARGA LIQUIDA                                                                            ,1930
03451,BATELAO DE CARGA SECA                                                                               ,1930
03452,BATELAO DE COMBATE A INCENDIO                                                                       ,1935
03453,BATELAO DEPOSITO                                                                                    ,1930
03454,BATELAO FRIGORIFICO                                                                                 ,1935
03455,BATELAO GUINDASTE                                                                                   ,1935
03456,BATELAO LAMEIRO                                                                                     ,1935
03457,BATELAO MISTURADOR DE CONCRETO                                                                      ,1935
03458,BATELAO PARA TRANSPORTE DE CARGA                                                                    ,1930
03459,BATENTE COXIM DIANTEIRO - MOTOR VEÍCULO AUTOMOTIVO                                                  ,2805
03460,BATENTE DE VEÍCULO                                                                                  ,2510
03460,BATENTE DE VEÍCULO                                                                                  ,2510
